vds,direction,adj vds,Mainline,LAT(IF NEEDED),LNG,hasdata,
400001,N,404753%400965%400479%400045,Batshore Fwy,37.364085,-121.901149,Y,
400014,N,402350%400181,Batshore Fwy,37.245818,-121.775473,Y,
400030,S,401440%400479,Nimitz Fwy,37.359087,-121.906538,Y,
400040,S,401606%400837,Guadalupe Pkwy,37.294949,-121.873109,Y,
400045,N,400001%401560%400122,Nimitz Fwy,37.363402,-121.902233,Y,
400052,N,401555%400750%401154,Norman Y Mineta Hwy,37.255791,-121.875479,Y,
400057,N,400951%400147,Nimitz Fwy,37.335022,-121.935522,Y,
400059,S,400085%400772,Norman Y Mineta Hwy,37.250481,-121.907735,Y,
400065,S,400995%400236,Guadalupe Pkwy,37.320292,-121.890281,Y,
400069,S,402367%400895,Batshore Fwy,37.385758,-121.977493,Y,
400073,S,404378%400278,Nimitz Fwy,37.2563,-121.955559,Y,
400085,S,400637%400059%401129,Norman Y Mineta Hwy,37.255594,-121.87471,Y,
400088,N,402286%401464,Nimitz Fwy,37.414988,-121.912685,Y,
400096,W,400201%400274,Southbay Swy,37.418049,-121.972381,Y,
400100,S,400278%401611%401388%405701,Nimitz Fwy,37.295052,-121.938872,Y,
400104,E,400296%400567,Southbay Swy,37.419313,-121.95548,Y,
400109,S,400922%402363,Batshore Fwy,37.362706,-121.889426,Y,
400122,N,400394%400965%400045%401541,Nimitz Fwy,37.36614,-121.901132,Y,
400132,N,400410%400444,Norman Y Mineta Hwy,37.243208,-121.806387,Y,
400138,S,402360%402357,Batshore Fwy,37.31631,-121.829714,Y,
400145,N,400444%401555%401129,Norman Y Mineta Hwy,37.251693,-121.838501,Y,
400147,N,400057%400343,Nimitz Fwy,37.34221,-121.926305,Y,
400158,W,401014,Southbay Swy,37.421059,-121.93678,Y,
400160,S,400440%401891%401655%407165,Batshore Fwy,37.348392,-121.860589,Y,
400172,S,400895%402365%401816,Batshore Fwy,37.376264,-121.939712,Y,
400174,N,401507%407323,Norman Y Mineta Hwy,37.403686,-122.06976,Y,
400181,N,400014%402347,Batshore Fwy,37.244125,-121.772528,Y,
400185,N,401210%400677,Norman Y Mineta Hwy,37.303131,-122.034527,Y,
400195,N,402359%402358,Batshore Fwy,37.321278,-121.834098,Y,
400201,W,400449%400096,Southbay Swy,37.419186,-121.962831,Y,
400209,S,400648%401846%407370,Norman Y Mineta Hwy,37.319961,-122.049031,Y,
400213,S,400907%404444,Norman Y Mineta Hwy,37.259192,-121.967128,Y,
400222,N,404434%401210,Norman Y Mineta Hwy,37.275395,-122.004702,Y,
400236,S,400065%402057,Guadalupe Pkwy,37.325009,-121.892984,Y,
400238,S,402287%402119%400873,Nimitz Fwy,37.413256,-121.912324,Y,
400240,N,400715%403329%400713,Nimitz Fwy,37.258184,-121.953853,Y,
400246,N,402366%400353,Batshore Fwy,37.38562,-121.976214,Y,
400253,S,400514%400508,Nimitz Fwy,37.342957,-121.925721,Y,
400258,N,400664%400916%401811,Guadalupe Pkwy,37.313462,-121.886197,Y,
400264,S,402000%401937,Batshore Fwy,37.413855,-122.082578,Y,
400274,W,400096%400687,Southbay Swy,37.409909,-121.995942,Y,
400278,S,400073%400100%400688,Nimitz Fwy,37.266561,-121.948692,Y,
400292,S,400429%401388,Junipero Serra Fwy,37.316378,-121.972052,Y,
400296,E,400873%400104,Southbay Swy,37.420359,-121.93915,Y,
400336,N,400750%400713,Norman Y Mineta Hwy,37.250624,-243.900261,Y,
400343,N,400147%401560,Nimitz Fwy,37.348907,-121.917833,Y,
400353,N,400246%400964,Batshore Fwy,37.383125,-121.967496,Y,
400394,S,402365%400922%400122,Batshore Fwy,37.364382,-121.902692,Y,
400410,N,402351%404439%400132,Norman Y Mineta Hwy,37.240325,-121.782062,Y,
400414,N,400560%401400,Junipero Serra Fwy,37.317942,-121.977301,Y,
400429,S,400673%400292,Junipero Serra Fwy,37.319424,-121.993175,Y,
400435,S,402373%400545%404585,Batshore Fwy,37.403153,-122.047463,Y,
400436,N,403329%404370,Nimitz Fwy,37.271687,-121.947037,Y,
400440,S,402363%400160,Batshore Fwy,37.353727,-121.865827,Y,
400444,N,400132%400145,Norman Y Mineta Hwy,37.25025,-121.835557,Y,
400449,W,401014%400201,Southbay Swy,37.419452,-121.955498,Y,
400464,N,400822%400688,Norman Y Mineta Hwy,37.258029,-121.962211,Y,
400474,N,404519%402350,Batshore Fwy,37.256295,-121.794639,Y,
400479,S,402365%400001%400030%404759,Nimitz Fwy,37.362439,-121.903211,Y,
400485,N,400713%400822,Norman Y Mineta Hwy,37.254231,-121.949216,Y,
400499,N,401845%407321%400209%400560,Junipero Serra Fwy,37.330196,-122.013256,Y,
400508,S,400253%403225,Nimitz Fwy,37.34766,-121.919969,Y,
400514,S,408911%400253,Nimitz Fwy,37.334602,-121.936288,Y,
400545,S,400435%400743,Batshore Fwy,37.40013,-122.033628,Y,
400560,N,400499%400414,Junipero Serra Fwy,37.324839,-122.002891,Y,
400563,N,400916%402056,Guadalupe Pkwy,37.325124,-121.893062,Y,
400567,E,400104%400973,Southbay Swy,37.418931,-121.962821,Y,
400577,S,400963%400754,Norman Y Mineta Hwy,37.249661,-121.835108,Y,
400581,W,401998%404586%401351,Southbay Swy,37.380572,-122.072863,Y,
400582,S,400444%401224,Norman Y Mineta Hwy,37.275212,-122.004898,Y,
400591,N,402356%402355,Batshore Fwy,37.304727,-121.818118,Y,
400637,S,400754%400085,Norman Y Mineta Hwy,37.255322,-121.855765,Y,
400643,S,400904%402367,Batshore Fwy,37.390763,-121.994912,Y,
400648,S,401224%400209,Norman Y Mineta Hwy,37.303016,-122.034801,Y,
400649,N,400715,Nimitz Fwy,37.251741,-121.958118,Y,
400654,N,401597%400664,Guadalupe Pkwy,37.297486,-121.874117,Y,
400664,N,400654%400258,Guadalupe Pkwy,37.303458,-121.878143,Y,
400665,S,401391%407194,Junipero Serra Fwy,37.341439,-121.849299,Y,
400668,N,402362%400996,Batshore Fwy,37.35512,-121.866967,Y,
400673,S,400823%400429,Junipero Serra Fwy,37.331788,-122.016913,Y,
400677,N,400185%404435%400726%400823,Norman Y Mineta Hwy,37.32001,-122.048757,Y,
400687,W,400274%404586,Southbay Swy,37.408459,-122.002706,Y,
400688,N,400464%404434%400278,Norman Y Mineta Hwy,37.259412,-121.966974,Y,
400700,S,400772%400934,Norman Y Mineta Hwy,37.251345,-121.934089,Y,
400713,N,400336%400485%400240,Norman Y Mineta Hwy,37.251585,-121.934046,Y,
400715,N,400649%400240,Nimitz Fwy,37.256205,-121.955355,Y,
400726,N,401845%407373%400677,Junipero Serra Fwy,37.341729,-122.091188,Y,
400729,N,404439,Norman Y Mineta Hwy,37.241341,-121.775348,Y,
400742,S,402352%402351,Batshore Fwy,37.25555,-121.793969,Y,
400743,S,400545%402371,Batshore Fwy,37.398989,-122.028373,Y,
400750,N,400052%400336,Norman Y Mineta Hwy,37.250746,-121.907763,Y,
400754,S,400577%400637%401154,Norman Y Mineta Hwy,37.25151,-121.838854,Y,
400760,N,400964%400911,Batshore Fwy,37.374628,-121.931055,Y,
400772,S,400059%400700,Norman Y Mineta Hwy,37.250448,-121.928226,Y,
400790,N,402370%402366,Batshore Fwy,37.391922,-121.998077,Y,
400792,S,400934%400907,Norman Y Mineta Hwy,37.255491,-121.955543,Y,
400799,N,401810%403402,Junipero Serra Fwy,37.327927,-121.876137,Y,
400807,S,401846,Junipero Serra Fwy,37.341455,-122.091236,Y,
400822,N,400485%400464,Norman Y Mineta Hwy,37.255715,-121.955375,Y,
400823,S,404640%407373%400677%400673,Junipero Serra Fwy,37.334457,-122.035326,Y,
400837,S,400040%400995,Guadalupe Pkwy,37.303359,-121.878066,Y,
400842,S,401154,Guadalupe Pkwy,37.261849,-121.859205,Y,
400858,N,402355%402353,Batshore Fwy,37.281279,-121.807832,Y,
400863,N,400911%402364,Batshore Fwy,37.371809,-121.91655,Y,
400869,S,401937%407374,Norman Y Mineta Hwy,37.403673,-122.069953,Y,
400873,E,401538%402290%400238%400296,Southbay Swy,37.420927,-121.93674,Y,
400891,S,402357%406151,Batshore Fwy,37.29855,-121.812553,Y,
400895,S,400069%400172,Batshore Fwy,37.380958,-121.960741,Y,
400904,S,402371%400643,Batshore Fwy,37.395067,-122.010518,Y,
400907,S,400792%400213%404378,Norman Y Mineta Hwy,37.257815,-121.96237,Y,
400911,N,400760%400863,Batshore Fwy,37.372674,-121.922087,Y,
400916,N,400258%400563,Guadalupe Pkwy,37.320404,-121.89031,Y,
400922,S,400394%404759%400109,Batshore Fwy,37.363644,-121.899535,Y,
400934,S,400700%400792,Norman Y Mineta Hwy,37.254002,-121.949365,Y,
400951,N,408907%401388%405701%400057,Nimitz Fwy,37.325584,-121.940683,Y,
400963,S,404448%400577,Norman Y Mineta Hwy,37.241254,-121.798377,Y,
400964,N,400353%400760%401817,Batshore Fwy,37.376685,-121.94075,Y,
400965,N,400001%400122%402362,Batshore Fwy,37.363311,-121.893592,Y,
400970,E,400973%404585,Southbay Swy,37.409755,-121.995933,Y,
400971,S,404759%402121,Nimitz Fwy,37.368669,-121.901336,Y,
400973,E,400567%400970,Southbay Swy,37.417801,-121.972288,Y,
400978,S,406151%402352,Batshore Fwy,37.282486,-121.808807,Y,
400995,S,400837%400065%402067%401810,Guadalupe Pkwy,37.313375,-121.886106,Y,
400996,N,400668%401890,Batshore Fwy,37.350928,-121.862378,Y,
401014,W,400158%400449,Southbay Swy,37.420505,-121.9392,Y,
401129,N,400145%400085%405613%401957,Guadalupe Pkwy,37.266722,-121.859225,Y,
401154,S,400052%400754%400842%401958,Guadalupe Pkwy,37.266658,-121.85921,Y,
401163,S,407711%404370%403414,Junipero Serra Fwy,37.316756,-121.923186,Y,
401210,N,400222%400185,Norman Y Mineta Hwy,37.291198,-122.023391,Y,
401224,S,400582%400648,Norman Y Mineta Hwy,37.291054,-122.023638,Y,
401351,W,400581,Southbay Swy,37.401701,-122.032879,Y,
401388,S,400951%400292%400100%407711,Junipero Serra Fwy,37.316628,-121.952438,Y,
401391,S,401809%400665,Junipero Serra Fwy,37.337881,-121.85467,Y,
401400,N,408911%400414%407710,Junipero Serra Fwy,37.316841,-121.952427,Y,
401403,N,401655%407172,Junipero Serra Fwy,37.338232,-121.854583,Y,
401440,S,403225%400030,Nimitz Fwy,37.356826,-121.908804,Y,
401457,S,404462%401606,Guadalupe Pkwy,37.279515,-121.864784,Y,
401464,N,400088%401489,Nimitz Fwy,37.424833,-121.916049,Y,
401489,N,401464%401538,Nimitz Fwy,37.427486,-121.916962,Y,
401507,N,401949%401948%400174,Batshore Fwy,37.410128,-122.073182,Y,
401534,N,401948%402372,Batshore Fwy,37.407511,-122.065278,Y,
401538,N,401489%402290%400873,Nimitz Fwy,37.430587,-121.917925,Y,
401541,N,400122%402281,Nimitz Fwy,37.370203,-121.901514,Y,
401555,N,400145%400052,Norman Y Mineta Hwy,37.255657,-121.858984,Y,
401560,N,400343%400045%400109,Nimitz Fwy,37.357526,-121.907884,Y,
401567,N,404451%401597,Guadalupe Pkwy,37.279628,-121.864838,Y,
401597,N,401567%400654,Guadalupe Pkwy,37.2874,-121.869623,Y,
401606,S,401457%400040,Guadalupe Pkwy,37.287298,-121.869548,Y,
401611,S,400100%408911,Nimitz Fwy,37.318919,-121.940307,Y,
401655,N,400160%402359%403402%401403,Junipero Serra Fwy,37.335596,-121.858919,Y,
401809,S,402360%403401%401391,Junipero Serra Fwy,37.334524,-121.860098,Y,
401810,N,400995%402059%401942%400799,Junipero Serra Fwy,37.32592,-121.883989,Y,
401811,S,400258%402057%403409%403404,Junipero Serra Fwy,37.325651,-121.883953,Y,
401816,S,400172%409529,Guadalupe Pkwy,37.37116,-121.926885,Y,
401817,N,400964%409526,Guadalupe Pkwy,37.371274,-121.926917,Y,
401845,N,400726%400499,Junipero Serra Fwy,37.332668,-122.060628,Y,
401846,S,400209%400807%407321%404640,Junipero Serra Fwy,37.332482,-122.060617,Y,
401881,S,404547%402348,Batshore Fwy,37.241836,-121.769232,Y,
401890,N,400996%401908%407194,Batshore Fwy,37.343447,-121.855539,Y,
401891,S,400160%401906,Batshore Fwy,37.343293,-121.855795,Y,
401906,S,401891%402360,Batshore Fwy,37.335259,-121.848031,Y,
401908,N,401890%402359,Batshore Fwy,37.335284,-121.847662,Y,
401936,S,401937%402373,Batshore Fwy,37.407282,-122.06515,Y,
401937,S,400264%401936%400869,Batshore Fwy,37.411338,-122.076826,Y,
401942,N,405701%401810,Junipero Serra Fwy,37.322594,-121.897858,Y,
401943,S,402067%403409,Junipero Serra Fwy,37.322361,-121.8978,Y,
401948,N,401507%401534,Batshore Fwy,37.409514,-122.071728,Y,
401949,N,402377%401507,Batshore Fwy,37.414582,-122.083368,Y,
401957,N,401129%404451,Guadalupe Pkwy,37.270311,-121.861079,Y,
401958,S,401154%404462,Guadalupe Pkwy,37.270209,-121.860998,Y,
401997,N,404522%402370,Batshore Fwy,37.398597,-122.025693,Y,
401998,N,402372%404522%400581,Batshore Fwy,37.404178,-122.05107,Y,
402000,S,402378%400264,Batshore Fwy,37.419829,-122.091045,Y,
402056,N,400563%402059,Guadalupe Pkwy,37.328954,-121.895643,Y,
402057,S,400236%401811%402117,Guadalupe Pkwy,37.336401,-121.897563,Y,
402059,N,402056%401810%402067%402118,Guadalupe Pkwy,37.337479,-121.897848,Y,
402060,N,407339%407336,Norman Y Mineta Hwy,37.356655,-122.062397,Y,
402061,S,407364%407361,Norman Y Mineta Hwy,37.356616,-122.06262,Y,
402067,S,400995%402059%403414%401943,Junipero Serra Fwy,37.322223,-121.89812,Y,
402117,S,402057%409528,Guadalupe Pkwy,37.344302,-121.902123,Y,
402118,N,402059%409524,Guadalupe Pkwy,37.344411,-121.902181,Y,
402119,S,400238%402291,Nimitz Fwy,37.421182,-121.915036,Y,
402120,S,402284%402287,Nimitz Fwy,37.399227,-121.908515,Y,
402121,S,400971%402282,Nimitz Fwy,37.380274,-121.904061,Y,
402281,N,401541%402283,Nimitz Fwy,37.38449,-121.904845,Y,
402282,S,402121%402284,Nimitz Fwy,37.384485,-121.905044,Y,
402283,N,402281%402285,Nimitz Fwy,37.391595,-121.906506,Y,
402284,S,402282%402120,Nimitz Fwy,37.391557,-121.90671,Y,
402285,N,402283%402286,Nimitz Fwy,37.398698,-121.908172,Y,
402286,N,402285%400088,Nimitz Fwy,37.405824,-121.909842,Y,
402287,S,402120%400238,Nimitz Fwy,37.405777,-121.910072,Y,
402290,N,401538%402292%400873,Nimitz Fwy,37.436753,-121.919191,Y,
402291,S,402119%402293,Nimitz Fwy,37.438079,-121.919899,Y,
402292,N,402290,Nimitz Fwy,37.445371,-121.920853,Y,
402293,S,402291,Nimitz Fwy,37.44531,-121.921119,Y,
402347,N,400181,Batshore Fwy,37.239343,-121.764097,Y,
402348,S,401881%404442,Batshore Fwy,37.239708,-121.765563,Y,
402350,N,400474%400014,Batshore Fwy,37.248955,-121.781141,Y,
402351,S,400742%404547%400410,Batshore Fwy,37.248679,-121.78139,Y,
402352,S,400978%400742,Batshore Fwy,37.266834,-121.802011,Y,
402353,N,400858%404519,Batshore Fwy,37.2712,-121.803139,Y,
402355,N,400591%400858,Batshore Fwy,37.299781,-121.813351,Y,
402356,N,402358%400591,Batshore Fwy,37.307829,-121.821116,Y,
402357,S,400138%400891,Batshore Fwy,37.308845,-121.822499,Y,
402358,N,400195%402356,Batshore Fwy,37.314719,-121.827787,Y,
402359,N,401908%400195%407165%401655,Batshore Fwy,37.329728,-121.842102,Y,
402360,S,401906%400138%401809%407194,Batshore Fwy,37.329591,-121.842361,Y,
402362,N,400965%400668,Batshore Fwy,37.358996,-121.871981,Y,
402363,S,400109%400440,Batshore Fwy,37.3588,-121.872094,Y,
402364,N,400863%404753,Batshore Fwy,37.368104,-121.90788,Y,
402365,S,400172%400394%400479,Batshore Fwy,37.367859,-121.907971,Y,
402366,N,400790%400246,Batshore Fwy,37.388542,-121.986478,Y,
402367,S,400643%400069,Batshore Fwy,37.388372,-121.986538,Y,
402370,N,401997%400790,Batshore Fwy,37.39592,-122.013438,Y,
402371,S,400743%400904,Batshore Fwy,37.396611,-122017518,Y,
402372,N,401534%401998,Batshore Fwy,37.40547,-122.055924,Y,
402373,S,401936%400435,Batshore Fwy,37.405335,-122.056343,Y,
402377,N,402379%401949,Batshore Fwy,37.440393,-122.113925,Y,
402378,S,404561%402000,Batshore Fwy,37.440293,-122.114141,Y,
402379,N,402377,Batshore Fwy,37.445961,-122.11976,Y,
403225,S,400508%401440,Nimitz Fwy,37.349517,-121.91728,Y,
403329,N,400240%400436,Nimitz Fwy,37.270267,-121.947353,Y,
403401,S,403404%401809,Junipero Serra Fwy,37.328484,-121.870843,Y,
403402,N,400799%401655,Junipero Serra Fwy,37.32872,-121.870796,Y,
403404,S,401811%403401,Junipero Serra Fwy,37.327807,-121.874899,Y,
403409,S,401943%401811,Junipero Serra Fwy,37.324015,-121.890673,Y,
403414,S,401163%402067,Junipero Serra Fwy,37.314844,-121.913648,Y,
404370,N,404370%408907%401163%400436,Nimitz Fwy,37.296028,-121.939132,Y,
404378,S,400907%400073,Nimitz Fwy,37.249976,-121.959331,Y,
404434,N,400688%400222,Norman Y Mineta Hwy,37.265521,-121.98154,Y,
404435,N,400677%407321,Norman Y Mineta Hwy,37.326592,-122.050852,Y,
404439,N,400729%400410,Norman Y Mineta Hwy,37.241688,-121.772849,Y,
404442,S,402348%404448,Norman Y Mineta Hwy,37.241444,-121.769405,Y,
404444,S,400213%400582,Norman Y Mineta Hwy,37.265311,-121.981694,Y,
404448,S,404442%400963,Norman Y Mineta Hwy,37.241502,-121.772811,Y,
404451,N,401957%401567,Guadalupe Pkwy,37.27263,-121.862544,Y,
404462,S,401958%401457,Guadalupe Pkwy,37.272658,-121.862556,Y,
404519,N,402353%400474,Batshore Fwy,37.26409,-121.800811,Y,
404522,N,401998%401997,Batshore Fwy,37.402071,-122.041627,Y,
404547,S,402351%401881,Batshore Fwy,37.245551,-121.775718,Y,
404561,S,404563%402378,Batshore Fwy,37.445696,-122.119856,Y,
404563,S,404561,Batshore Fwy,37.446362,-122.120546,Y,
404585,E,400970%400435,Southbay Swy,37.406761,-122.009541,Y,
404586,W,400687%400581,Southbay Swy,37.406939,-122.009566,Y,
404640,S,401846%400823,Junipero Serra Fwy,37.333614,-122.049627,Y,
404753,N,402364%400001,Batshore Fwy,37.365125,-121.901373,Y,
404759,S,400479%400922%400971,Nimitz Fwy,37.365167,-121.901551,Y,
405613,N,401129,Guadalupe Pkwy,37.262704,-121.858533,Y,
405701,N,407710%400951%400100%401942,Junipero Serra Fwy,37.316969,-121.924481,Y,
406151,S,400891%400978,Batshore Fwy,37.290532,-121.80987,Y,
407165,N,400160%402359%407172,Junipero Serra Fwy,37.344023,-121.845368,Y,
407172,N,401403%407165,Junipero Serra Fwy,37.341866,-121.848285,Y,
407194,S,401890%402360%400665,Junipero Serra Fwy,37.344538,-121.845148,Y,
407321,N,404435%407341%401846,Norman Y Mineta Hwy,37.333648,-122.056851,Y,
407323,N,407325%400174,Norman Y Mineta Hwy,37.396419,-122.068661,Y,
407325,N,407335%407323,Norman Y Mineta Hwy,37.383707,-122.068108,Y,
407335,N,407336%407325,Norman Y Mineta Hwy,37.373213,-122.067368,Y,
407336,N,402060%407335,Norman Y Mineta Hwy,37.363146,-122.062707,Y,
407339,N,407341%402060,Norman Y Mineta Hwy,37.351571,-122.060285,Y,
407341,N,407321%407339,Norman Y Mineta Hwy,37.344713,-122.059766,Y,
407348,S,407360%407374,Norman Y Mineta Hwy,37.384273,-122.068412,Y,
407360,S,407361%407348,Norman Y Mineta Hwy,37.373187,-122.067646,Y,
407361,S,402061%407360,Norman Y Mineta Hwy,37.363107,-122.063006,Y,
407364,S,407372%402061,Norman Y Mineta Hwy,37.351529,-122.060518,Y,
407370,S,400209%407373,Norman Y Mineta Hwy,37.333574,-122.057007,Y,
407372,S,407373%407364,Norman Y Mineta Hwy,37.344708,-122.059991,Y,
407373,S,407370%407372%400726%400823,Norman Y Mineta Hwy,37.337629,-122.059717,Y,
407374,S,407348%400869,Norman Y Mineta Hwy,37.395123,-122.068612,Y,
407710,N,401400%405701,Junipero Serra Fwy,37.316507,-121.966001,Y,
407711,S,401388%401163,Junipero Serra Fwy,37.31625,-121.966065,Y,
408907,N,404370%400951,Nimitz Fwy,37.321822,-121.940425,Y,
408911,S,401611%401400%400514,Nimitz Fwy,37.325153,-121.940859,Y,
409524,N,402118%409525,Guadalupe Pkwy,37.348448,-121.907247,Y,
409525,N,409524%409526,Guadalupe Pkwy,37.362566,-121.917493,Y,
409526,N,409525%401817,Guadalupe Pkwy,37.366737,-121.921627,Y,
409528,S,402117%409529,Guadalupe Pkwy,37.362467,-121.917418,Y,
409529,S,409528%401816,Guadalupe Pkwy,37.366662,-121.921519,Y,
